,carat,x,y,z,price,cut/carat,color/carat,clarity/carat
0,1.21,6.73,6.7,4.23,6134,2.479338842975207,2.479338842975207,3.3057851239669422
1,0.28,4.14,4.17,2.66,532,17.857142857142854,24.999999999999996,21.428571428571427
2,0.42,4.86,4.82,2.96,1103,9.523809523809524,11.904761904761905,11.904761904761905
3,0.26,4.16,4.12,2.53,600,11.538461538461538,11.538461538461538,30.769230769230766
4,1.1,6.52,6.55,4.14,4997,1.8181818181818181,3.6363636363636362,2.727272727272727
5,0.35,4.48,4.52,2.8,583,8.571428571428571,14.285714285714286,8.571428571428571
6,0.31,4.37,4.4,2.73,452,9.67741935483871,6.451612903225807,12.903225806451614
7,0.43,4.93,4.91,2.96,919,9.30232558139535,6.976744186046512,6.976744186046512
8,0.51,5.2,5.17,3.13,956,7.8431372549019605,3.9215686274509802,3.9215686274509802
9,1.22,6.81,6.84,4.23,6469,2.459016393442623,1.639344262295082,4.098360655737705
10,0.41,4.77,4.73,3.0,947,12.195121951219512,17.073170731707318,7.317073170731708
11,0.33,4.41,4.38,2.72,1114,12.121212121212121,12.121212121212121,21.21212121212121
12,0.93,6.23,6.29,3.91,3856,3.225806451612903,2.150537634408602,3.225806451612903
13,0.71,5.74,5.79,3.55,2175,4.225352112676057,4.225352112676057,7.042253521126761
14,0.47,5.0,5.04,3.12,1618,6.382978723404256,8.51063829787234,12.765957446808512
15,1.71,7.78,7.71,4.69,9760,2.3391812865497075,1.1695906432748537,1.1695906432748537
16,0.33,4.45,4.5,2.69,981,15.15151515151515,18.18181818181818,18.18181818181818
17,1.26,6.85,6.9,4.24,6733,3.9682539682539684,3.1746031746031744,2.380952380952381
18,0.75,5.87,5.83,3.56,2631,5.333333333333333,5.333333333333333,4.0
19,0.76,5.89,5.94,3.63,2557,6.578947368421052,3.9473684210526314,3.9473684210526314
20,0.31,4.33,4.35,2.71,791,9.67741935483871,19.35483870967742,19.35483870967742
21,0.7,5.8,5.75,3.39,3062,5.714285714285714,7.142857142857143,8.571428571428571
22,0.3,4.31,4.32,2.66,814,10.0,23.333333333333336,20.0
23,0.28,4.3,4.31,2.59,598,10.714285714285714,17.857142857142854,17.857142857142854
24,0.9,6.14,6.18,3.86,4770,3.333333333333333,6.666666666666666,4.444444444444445
25,0.51,5.06,5.12,3.18,988,5.88235294117647,1.9607843137254901,5.88235294117647
26,0.71,5.72,5.77,3.51,2384,7.042253521126761,2.8169014084507045,5.633802816901409
27,0.57,5.36,5.38,3.27,1949,5.2631578947368425,5.2631578947368425,12.280701754385966
28,0.71,5.75,5.79,3.49,2138,7.042253521126761,7.042253521126761,2.8169014084507045
29,0.72,5.67,5.71,3.6,3183,6.944444444444445,8.333333333333334,4.166666666666667
30,0.36,4.55,4.57,2.84,678,8.333333333333334,11.11111111111111,13.88888888888889
31,0.3,4.3,4.32,2.67,545,10.0,10.0,16.666666666666668
32,0.9,6.27,6.3,3.73,3992,5.555555555555555,2.2222222222222223,4.444444444444445
33,0.7,5.76,5.79,3.42,4198,2.857142857142857,10.0,10.0
34,0.38,4.74,4.65,2.84,1112,10.526315789473685,15.789473684210526,10.526315789473685
35,0.67,5.82,5.75,3.31,1436,1.4925373134328357,2.9850746268656714,5.970149253731343
36,0.3,4.32,4.28,2.64,814,13.333333333333334,20.0,16.666666666666668
37,2.02,8.2,8.16,4.89,17825,1.9801980198019802,2.9702970297029703,0.9900990099009901
38,2.0,8.1,8.03,4.93,13986,2.0,2.0,1.0
39,0.33,4.41,4.39,2.77,610,9.09090909090909,9.09090909090909,9.09090909090909
40,1.1,6.65,6.61,4.1,3745,2.727272727272727,4.545454545454545,0.9090909090909091
41,0.56,5.25,5.31,3.26,1755,8.928571428571427,10.714285714285714,7.142857142857142
42,0.85,6.12,6.08,3.71,2295,4.705882352941177,1.1764705882352942,4.705882352941177
43,0.93,6.15,6.09,3.9,2438,2.150537634408602,1.075268817204301,3.225806451612903
44,0.53,5.2,5.23,3.19,1857,5.660377358490566,13.20754716981132,7.547169811320754
45,0.4,4.76,4.8,2.91,1123,12.5,10.0,17.5
46,0.73,5.78,5.82,3.59,2588,4.109589041095891,6.8493150684931505,2.73972602739726
47,1.14,6.7,6.67,4.16,4788,3.5087719298245617,1.7543859649122808,2.6315789473684212
48,1.02,6.48,6.45,3.97,5956,3.9215686274509802,5.88235294117647,2.941176470588235
49,1.2,6.76,6.8,4.25,8687,2.5,3.3333333333333335,4.166666666666667
50,1.02,6.4,6.47,4.03,7632,2.941176470588235,4.901960784313726,3.9215686274509802
51,1.02,6.43,6.46,3.96,10580,3.9215686274509802,6.862745098039215,5.88235294117647
52,1.2,6.77,6.7,4.24,4596,2.5,1.6666666666666667,1.6666666666666667
53,1.0,6.56,6.45,3.89,4213,2.0,6.0,3.0
54,1.11,6.69,6.64,4.07,4096,3.603603603603603,3.603603603603603,2.7027027027027026
55,0.39,4.77,4.73,2.88,1092,10.256410256410255,12.82051282051282,12.82051282051282
56,1.07,6.55,6.44,4.09,5465,3.7383177570093458,2.803738317757009,2.803738317757009
57,1.14,6.63,6.66,4.15,4785,4.385964912280702,1.7543859649122808,3.5087719298245617
58,0.58,5.36,5.38,3.3,1392,5.172413793103448,10.344827586206897,3.4482758620689657
59,1.5,7.2,7.29,4.66,8043,1.3333333333333333,2.6666666666666665,1.3333333333333333
